timestamp,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,t_s,vxy,h_fused,dt_s,flight_mask,yaw_unwrapped_deg,vx_body_m_s,vy_body_m_s,vz_odom_m_s,vx_world_m_s,vy_world_m_s,vz_fused_m_s,az_world_dyn_m_s2,z_meas_m,x_m,y_m,z_m,step_dist_2d_m,step_dist_3d_m,dist_2d_m,dist_3d_m
1773321533.533386,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,52,10,0,100,2.95,0,6.0,-9.0,-995.0,4.166546106338501,0.0,6.0,0.10205793380737305,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5723172990832381,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321533.635297,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,52,10,0,100,2.92,0,6.0,-11.0,-1000.0,4.2684571743011475,0.0,6.0,0.10191106796264648,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0352063857420717,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321533.738184,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,52,10,0,100,3.01,0,5.0,-9.0,-997.0,4.371344089508057,0.0,6.0,0.10288691520690918,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2055176550692295,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321533.8396642,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,52,10,0,100,2.99,0,5.0,-10.0,-997.0,4.472824335098267,0.0,6.0,0.10148024559020996,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3417666705308875,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321533.941751,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,52,10,0,100,2.99,0,5.0,-10.0,-997.0,4.574911117553711,0.0,6.0,0.10208678245544434,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.450765882900214,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321534.043826,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,52,10,0,100,2.95,0,4.0,-9.0,-1000.0,4.676986217498779,0.0,6.0,0.10207509994506836,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9379652527957205,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321534.145251,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,52,10,0,100,2.95,0,4.0,-9.0,-1000.0,4.778411149978638,0.0,6.0,0.1014249324798584,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5277247487121031,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321534.247253,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,52,10,0,100,2.94,0,5.0,-10.0,-999.0,4.880413055419922,0.0,6.0,0.10200190544128418,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3995323454450954,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321534.348494,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,52,10,0,100,2.94,0,6.0,-9.0,-1000.0,4.981654167175293,0.0,6.0,0.1012411117553711,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09697842283162572,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321534.451218,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.97,0,6.0,-10.0,-997.0,5.084378004074097,0.0,6.0,0.10272383689880371,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45493528474082723,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
