t_s,dt_s,yaw,yaw_unwrapped_deg,vgx,vgy,vxy,vx_world_m_s,vy_world_m_s,h,tof,h_fused,x_m,y_m,step_dist_m,dist_2d_m
21.85402202606201,0.10538697242736816,-83,-83.0,0,0,0.0,1.020060988982106e-08,1.3308439393145327e-09,60,108,88.8,0.11813431606295381,0.017535977443410726,1.0841220280125934e-09,0.11946564324117245
21.959455966949463,0.10543394088745117,-83,-83.0,0,0,0.0,7.650457417365796e-09,9.981329544858996e-10,60,108,88.8,0.11813431686957168,0.017535977548647816,8.134538965077514e-10,0.11946564405462635
22.06097412109375,0.10151815414428711,-83,-83.0,0,0,0.0,5.737843063024347e-09,7.485997158644246e-10,60,108,88.8,0.11813431745206691,0.01753597762464428,5.874318366542271e-10,0.1194656446420582
22.16146492958069,0.10049080848693848,-83,-83.0,0,0,0.0,4.303382297268261e-09,5.614497868983185e-10,60,108,88.8,0.11813431788451728,0.01753597768106482,4.3611534823945903e-10,0.11946564507817355
22.26688313484192,0.10541820526123047,-84,-84.0,-6,0,6.0,-0.0015679237146206608,0.014917828795219022,60,108,88.8,0.11796903018053545,0.019108588419051113,0.0015812730815129245,0.12104691815968648
22.367868185043335,0.10098505020141602,-84,-84.0,-6,0,6.0,-0.0027438697349802975,0.02610620002693837,60,111,90.6,0.11769194035760232,0.02174492433933969,0.002650857569651177,0.12369777572933766
22.473366022109985,0.10549783706665039,-84,-84.0,-6,0,6.0,-0.0036258292502500244,0.03449747845072787,60,111,90.6,0.11730942321412795,0.02538433370014486,0.0036594562247099097,0.12735723195404758
22.57807993888855,0.10471391677856445,-84,-84.0,-6,0,6.0,-0.00428729888670232,0.04079093726857001,60,111,90.6,0.11686048335530097,0.029655712510605545,0.004294906743958023,0.1316521386980056
22.679574966430664,0.10149502754211426,-84,-84.0,-6,0,6.0,-0.004783401114041542,0.04551103138195161,60,111,90.6,0.11637499192748635,0.03427485589418675,0.004644586905696082,0.13629672560370168
22.782263040542603,0.10268807411193848,-84,-84.0,-7,0,7.0,-0.005416798942715091,0.05153740670540849,70,106,91.6,0.11581875127620735,0.039567132933488854,0.0053214283724259135,0.1416181539761276
22.88443613052368,0.1021730899810791,-84,-84.0,-7,0,7.0,-0.005891847314220254,0.05605718819800115,70,106,91.6,0.11521676303041674,0.04529466906732951,0.005759084997855166,0.14737723897398275
22.988904237747192,0.10446810722351074,-84,-84.0,-7,0,7.0,-0.006248133592849126,0.05944702431744565,70,106,91.6,0.11456403234029215,0.051504987177843076,0.006244526274074219,0.15362176524805696
23.089335918426514,0.10043168067932129,-84,-84.0,-8,0,8.0,-0.006776669459989913,0.0644757061454497,70,157,122.2,0.11388344003701714,0.05798039070901663,0.006511071860670267,0.16013283710872722
