t_s,dt_s,flight_mask,roll,pitch,yaw,yaw_unwrapped_deg,vgx,vgy,vgz,vxy,agx,agy,agz,vx_world_m_s,vy_world_m_s,vz_odom_m_s,vz_fused_m_s,az_world_dyn_m_s2,h,tof,h_fused,z_meas_m,x_m,y_m,z_m,step_dist_2d_m,step_dist_3d_m,dist_2d_m,dist_3d_m
21.624110221862793,0.10514712333679199,1,1,0,0,0.0,0,0,0,0.0,-30.0,13.0,-986.0,0.0,-0.0005725285519688464,3.806141988435257e-18,-0.046730327162476874,-4.0,60,152,115.2,1.1520000000000001,0.0,-0.08453686133204208,1.1480928407808872,6.019973026770321e-05,0.0023095713570794787,0.08453686133204208,1.7169074679873828
21.729621171951294,0.10551095008850098,1,1,0,0,0.0,0,0,0,0.0,-30.0,13.0,-986.0,0.0,-0.0004293964139766348,2.854606491326443e-18,-0.02450845282340084,-1.8799394840550203,60,152,115.2,1.1520000000000001,0.0,-0.08458216735564535,1.1481041583829747,4.530602360327002e-05,4.6698221505225246e-05,0.08458216735564535,1.716954166208888
21.83296012878418,0.10333895683288574,1,1,0,0,0.0,0,0,0,0.0,-28.0,4.0,-990.0,0.0,-0.0003220473104824761,2.140954868494832e-18,0.000877398239411313,0.32207055536022616,60,152,115.2,1.1520000000000001,0.0,-0.08461544738876144,1.1497168966810576,3.328003311609555e-05,0.0016130816404346493,0.08461544738876144,1.7185672478493228
21.935230016708374,0.10226988792419434,1,1,0,0,0.0,0,0,0,0.0,6.0,-21.0,-986.0,0.0,-0.00024153548286185705,1.605716151371124e-18,0.028685414491912028,2.7962947108310505,60,148,112.8,1.128,0.0,-0.08464014919552343,1.1427903304837228,2.470180676199828e-05,0.006926610243497041,0.08464014919552343,1.7254938580928199
22.035657167434692,0.10042715072631836,1,1,0,0,0.0,0,0,0,0.0,6.0,-21.0,-986.0,0.0,-0.00018115161214639277,1.204287113528343e-18,0.04303940173971855,4.0,60,148,112.8,1.128,0.0,-0.08465834173578077,1.139467592981645,1.819254025734135e-05,0.003322787305295946,0.08465834173578077,1.7288166453981157
22.140982151031494,0.10532498359680176,1,1,0,0,0.0,0,0,0,0.0,-17.0,23.0,-974.0,0.0,-0.00013586370910979458,9.032153351462572e-19,0.04643393361269256,4.0,60,145,111.0,1.11,0.0,-0.08467265157871416,1.130614947766642,1.4309842933389758e-05,0.008852656780555626,0.08467265157871416,1.7376693021786713
22.245286226272583,0.10430407524108887,1,1,0,0,0.0,0,0,0,0.0,-17.0,23.0,-974.0,0.0,-0.00010189778183234592,6.774115013596929e-19,0.0463650234577048,4.0,60,145,111.0,1.11,0.0,-0.0846832799326173,1.1252706051971577,1.0628353903141068e-05,0.0053443531378371024,0.0846832799326173,1.7430136553165085
22.34689497947693,0.1016087532043457,1,1,0,0,0.0,0,0,0,0.0,1.0,-25.0,-993.0,0.0,-7.642333637425944e-05,5.080586260197697e-19,0.045280003627508766,4.0,60,143,109.8,1.0979999999999999,0.0,-0.084691045212542,1.1171228699465021,7.765279924704824e-06,0.008147738951043298,0.084691045212542,1.751161394267552
22.44912600517273,0.10223102569580078,1,1,0,0,0.0,0,0,0,0.0,-17.0,-19.0,-979.0,0.0,-5.731750228069458e-05,3.810439695148273e-19,0.04542041064107119,4.0,60,137,106.2,1.062,0.0,-0.08469690483959048,1.097859747068318,5.859627048476808e-06,0.019263123769400665,0.08469690483959048,1.7704245180369527
22.550039291381836,0.10091328620910645,1,1,0,0,0.0,0,0,0,0.0,-17.0,-19.0,-979.0,0.0,-4.298812671052093e-05,2.8578297713612046e-19,0.044907355547749696,4.0,60,137,106.2,1.062,0.0,-0.08470124291272482,1.0862348975349612,4.338073134332132e-06,0.01162485034278143,0.08470124291272482,1.782049368379734
22.65271306037903,0.10267376899719238,1,1,0,0,0.0,0,0,0,0.0,-21.0,2.0,-1008.0,0.0,-3.22410950328907e-05,2.1433723285209034e-19,0.045560243153651925,4.0,60,136,105.6,1.056,0.0,-0.08470455322746845,1.076947643649585,3.3103147436235464e-06,0.009287254475334312,0.08470455322746845,1.7913366228550685
22.75474214553833,0.10202908515930176,1,1,0,0,0.0,0,0,0,0.0,-21.0,2.0,-1008.0,0.0,-2.4180821274668026e-05,1.6075292463906778e-19,0.0453676583790859,4.0,60,136,105.6,1.056,0.0,-0.0847070203745415,1.0713458785978938,2.4671470730549598e-06,0.005601765594985628,0.0847070203745415,1.796938388450054
22.859105110168457,0.10436296463012695,1,1,0,0,0.0,0,0,0,0.0,1.0,4.0,-1003.0,0.0,-1.813561595600102e-05,1.2056469347930083e-19,0.044937550377576935,3.8711802297733557,60,136,105.6,1.056,0.0,-0.08470891306118807,1.068021416747108,1.8926866465617003e-06,0.0033244623895590034,0.08470891306118807,1.800262850839613
